VENDOR INFO,Address 1,Address 2,SCAC,MC#,Insurance,Website,CONTACT/TITLE,PHONE,MOBILE ,EMAIL ,TRK BASE STATE ,BASE ZIP,USDOT,COMMENTS,BONDED & FTZ,LOCAL,DIRECT DRAY,OTR,OTHER,All/Nationwide,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC
Atlantic Nationwide Trkg,4490 North Point Blvd,"Sparrows Point, MD  21219",ATTC,280577,,www.atlanticnationwidetrucking.com ,Christopher J. Lessner – President; Katelyn Lapenna - Drayage Dispatcher; Liz Kessman - Support; Jessi Broadwater,410-477-9733,(877) 477-0733; 443-506-5296,sdmd64@aol.com; atlantic.operations@outlook.com; emessmanatlantic@gmail.com; jbants4490@outlook.com; chrislessner@yahoo.com,MD,21219,582826,,TRUE,TRUE,TRUE,TRUE,"Flatbed, LTL,; Intermodal; Long-Haul",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Arrive Logistics,"7701 Metropolis Drive, Building 15","Austin, TX 78744",NA,787104,,https//www.arrivelogistics.com,General Sales / Operations Team,(888) 861-0650,(737) 239-8070,info@arrivelogistics.com,TX,78744,2310518,,TRUE,TRUE,TRUE,FALSE,"Truckload, LTL,; Brokerage; Cross-Border; apacity Solutions,",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Big Love Logistics LLC,5850 Bonnie View Lane,"Elkridge, MD  21075",NA,23329,,No WEBSITE,Eric Walton; – Ops Manager & Dispatch,443-503-6030 Ext 101,,blenterpriseinc@gmail.com; dispatchblenterprise@gmail.com,MD,21219,2999559,,FALSE,TRUE,FALSE,TRUE,Chassis: 14; Flat Beds: 11; Step Decks: 8; Van Trailers: 3; RGN’s (Removable Goose Neck): 2; Flip Axle: 1,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,Y
Blue Mountain Delivery,5915 Simmonds Avenue,"Baltimore, MD 21215",NA,1742022,,www.bluemountaindelivery.com,Moshe,410-929-3104,,moshe@bluemountaindelivery.com,MD,21215,4428267,,FALSE,TRUE,FALSE,FALSE,Beverage,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capital Logistics, LLC",4428 NORTHPOINT BLVD,"SPARROWS POINT, MD 21219",CLLN,694437,,www.capitallogisticsmd.com,Kayla; – Operations Manager,410-282-1515,443-839-8628,operations@capitallogisticsmd.com,MD,21219,1981664,,TRUE,TRUE,TRUE,TRUE,Port Drayage; Intermodal; Warehousing; Cross-Dock; Container Freight,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,Y,,,,,,Y,,,,,Y
CARROLL TRUCKING INC.,6969 TIDEWATER DRIVE,"NORFOLK, VA 23509",CAOG,146942,,www.carroll-trucking.com,"Matt Carroll; – President/Operations; Adam Braddock; – Director, Trucking",757-853-1170,,ar@carroll-trucking.com,VA,23509,178393,,TRUE,TRUE,TRUE,TRUE,HazMat; Transload; OOG Freight,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,Y,,,Y,,Y,,Y,,,,Y,,,,,
"CJ'S Logistics & Distribution, Inc.","5457 Twin Knolls Road, Suite 300","Columbia, MD 21045",NA,1236689,,cjsfreightdistributionllc.com,Charles Johnson - President,410-709-4995,,cjslogistics1001@gmail.com,MD,21045,3633356,,FALSE,TRUE,FALSE,TRUE,Refrigerated Freight; Building Materials; Food Distribution; LTL or FTL; Short/Long Hauls,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"Cox & Son Trucking, LLC   ",904 Thompson Boulevard,"Essex, MD  21221",NA,1348352,,No WEBSITE,Landel Cox,443-388-7793,,coxandsontrucking@gmail.com,MD,21221,3773890,,FALSE,TRUE,TRUE,TRUE,Intermodal freight,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,
DESTINATION TRANSPORT,#185 PO Box 1575,"Minneapolis, MN 55480",NA,895727,,www.destinationtrans.com,,763-489-6239,,April.musech@dentinationtrans.com; info@destinationtrans.com,MN,55480,2591761,,FALSE,FALSE,FALSE,TRUE,Freight brokerage; 3PL,,,,,,,,,,,,,,Y,,Y,,,,,,,,Y,,Y,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,Y,,
E&M TRADING & LOGISTICS LLC,25 Dartmouth Street,Edison NJ 08837,NA,1025984,,www.emfreightlogistics.com,(862) 227-2257,203-524-4113; (862) 240-4209,,emfreightlogistics@outlook.com,NJ,08837,3537563,,TRUE,TRUE,TRUE,TRUE,Warehousing; Transloading,,,,,,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,Y,,,,,
Enstructure Richardson I LLC,2333 Clinton Dr,"Galena Park, TX 77547",NA,1526076,,www.enstructure.com,Reginald Ross - Operations,(713) 673-1110,,billing@richardsoncompanies.com,TX,77547,4035958,,TRUE,TRUE,TRUE,TRUE,Port Services; Stevedoring; Intermodal; Steel Haulage; Breakbulk,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
eTernity Logistics,308 W. 10th Street,"Deer Park, NY  11729 USA",NA,1064990,,www.eternitylogistics.co,Mike Adareo,PH: 929-429-7237; Fax: 551-400-0786; (631) 667-7300,,mike@eternitylogistics.co; info@eternitylogistics.co,NY,11729,3338050,,TRUE,TRUE,TRUE,TRUE,Warehousing; Freight forwarding,,,,,,,,Y,,Y,,,,,,,,,,,Y,Y,,,,,,,,,Y,,Y,Y,,,,,Y,,,,,,,,Y,,,Y,,
Harbor Freight Transport Corporation,"301 Craneway St, ","Newark, NJ 07114",HFTC,237747,,www.harborusa.com,Natalie Hold; Gina Schaefer,(503) 906-2501; (215) 492-9000; 973-589-6700,,holm@woodbrokerage.com; rates@harborusa.com,NJ,07114,515980,,TRUE,TRUE,TRUE,TRUE,Port container transport; Heavy haul,,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,
"International Transload Logistics, Inc. (ITL)",3675 Darlene Court,"Aurora, IL 60504", ITLI,388086,,www.itlchicago.com,Miles Douglass –Vice-President; John Roetter –President,(630) 428-8008; 630-206-1532; (630) 309-7899,,chisales@itlchicago.com; mdouglass@itlchicago.com,IL,605044,891092,,TRUE,TRUE,TRUE,TRUE,Rail transloading; Warehousing,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,Y,Y,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,
